temperature,humidity,label
26.0,60,Dingin
26.1,62,Dingin
26.1,58,Dingin
26.2,65,Dingin
26.2,61,Dingin
26.3,63,Dingin
26.3,59,Dingin
26.4,64,Dingin
26.4,60,Dingin
26.5,62,Dingin
26.5,66,Dingin
26.6,58,Dingin
26.6,61,Dingin
26.7,63,Dingin
26.7,65,Dingin
26.8,59,Dingin
26.8,67,Dingin
26.9,60,Dingin
26.9,62,Dingin
27.0,64,Dingin
27.0,58,Dingin
27.0,66,Dingin
27.1,61,Dingin
27.1,63,Dingin
27.1,60,Dingin
27.2,65,Dingin
27.2,59,Dingin
27.2,62,Dingin
27.3,64,Dingin
27.3,61,Dingin
27.3,67,Dingin
27.4,60,Dingin
27.4,63,Dingin
27.4,65,Dingin
27.5,58,Dingin
27.5,62,Dingin
27.5,66,Dingin
27.6,61,Dingin
27.6,64,Dingin
27.6,59,Dingin
27.7,63,Dingin
27.7,60,Dingin
27.7,65,Dingin
27.8,62,Dingin
27.8,67,Dingin
27.8,58,Dingin
27.9,61,Dingin
27.9,64,Dingin
27.9,66,Dingin
27.9,60,Dingin
28.0,60,Ideal
28.0,62,Ideal
28.0,64,Ideal
28.0,58,Ideal
28.0,66,Ideal
28.1,61,Ideal
28.1,63,Ideal
28.1,65,Ideal
28.1,59,Ideal
28.2,62,Ideal
28.2,60,Ideal
28.2,67,Ideal
28.2,64,Ideal
28.3,58,Ideal
28.3,61,Ideal
28.3,63,Ideal
28.3,66,Ideal
28.4,60,Ideal
28.4,62,Ideal
28.4,65,Ideal
28.4,59,Ideal
28.4,64,Ideal
28.5,61,Ideal
28.5,63,Ideal
28.5,67,Ideal
28.5,60,Ideal
28.6,62,Ideal
28.6,65,Ideal
28.6,58,Ideal
28.6,64,Ideal
28.7,61,Ideal
28.7,63,Ideal
28.7,66,Ideal
28.7,59,Ideal
28.8,62,Ideal
28.8,60,Ideal
28.8,65,Ideal
28.8,67,Ideal
28.9,63,Ideal
28.9,58,Ideal
28.9,61,Ideal
28.9,64,Ideal
29.0,60,Ideal
29.0,62,Ideal
29.0,65,Ideal
29.0,59,Ideal
29.0,66,Ideal
29.1,60,Panas
29.1,63,Panas
29.1,65,Panas
29.2,61,Panas
29.2,58,Panas
29.2,64,Panas
29.3,62,Panas
29.3,66,Panas
29.3,59,Panas
29.4,63,Panas
29.4,60,Panas
29.4,67,Panas
29.5,61,Panas
29.5,65,Panas
29.5,58,Panas
29.6,62,Panas
29.6,64,Panas
29.6,60,Panas
29.7,63,Panas
29.7,66,Panas
29.7,59,Panas
29.8,61,Panas
29.8,65,Panas
29.8,62,Panas
29.9,64,Panas
29.9,60,Panas
29.9,67,Panas
30.0,58,Panas
30.0,63,Panas
30.1,65,Panas
30.2,61,Panas
30.3,64,Panas
30.4,60,Panas
30.5,62,Panas
30.5,66,Panas
30.6,59,Panas
30.6,63,Panas
30.7,61,Panas
30.7,65,Panas
30.8,60,Panas
30.8,64,Panas
30.9,62,Panas
31.0,66,Panas
31.0,58,Panas
31.1,61,Panas
31.2,63,Panas
31.3,65,Panas
31.4,60,Panas
31.5,62,Panas
31.6,61,Panas
31.7,60,Panas
31.8,63,Panas
31.9,62,Panas
